#options: 1920x1080 fps=2997/50 timebase=50/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5593 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:89 out:86 type:P dur:2 cpbdur:2 q:22.14 aq:9.69 tex:114607 mv:32416 misc:6537 imb:2856 pmb:2204 smb:3100 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:22.17 aq:11.25 tex:46723 mv:26179 misc:7266 imb:617 pmb:2675 smb:4868 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:22.18 aq:11.45 tex:19353 mv:16323 misc:6444 imb:356 pmb:2012 smb:5792 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:22.15 aq:11.58 tex:17377 mv:18343 misc:6824 imb:480 pmb:2131 smb:5549 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:21.99 aq:10.21 tex:62126 mv:19204 misc:6478 imb:1259 pmb:1535 smb:5366 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:21.96 aq:10.17 tex:67843 mv:21857 misc:6876 imb:1377 pmb:1727 smb:5056 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:22.01 aq:10.01 tex:77787 mv:21602 misc:6283 imb:1634 pmb:1665 smb:4861 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:21.95 aq:10.24 tex:63701 mv:17706 misc:6193 imb:1226 pmb:1413 smb:5521 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:21.93 aq:10.01 tex:65273 mv:19386 misc:6653 imb:1304 pmb:1550 smb:5306 d:- ref:0 ;
in:96 out:95 type:P dur:2 cpbdur:2 q:22.13 aq:9.68 tex:223202 mv:33230 misc:5688 imb:3688 pmb:2197 smb:2275 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:22.03 aq:11.83 tex:29760 mv:26927 misc:7553 imb:522 pmb:3006 smb:4632 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:22.10 aq:9.21 tex:81274 mv:22718 misc:6680 imb:1712 pmb:1770 smb:4678 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:22.20 aq:9.81 tex:128084 mv:34652 misc:6272 imb:2910 pmb:2300 smb:2950 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:22.15 aq:11.13 tex:46825 mv:27433 misc:7318 imb:559 pmb:2767 smb:4834 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:22.13 aq:11.40 tex:19229 mv:17670 misc:6653 imb:336 pmb:2124 smb:5700 d:- ref:0 ;
