submission_id,participant_id,status,custom_study_tncs_accepted_at,started_at,completed_at,reviewed_at,archived_at,time_taken,completion_code,total_approvals,fluent_languages,age,sex,ethnicity_simplified,country_of_birth,country_of_residence,nationality,language,student_status,employment_status
663c96c40c5e341b67355dff,637fcee60a8378c1c3a65898,APPROVED,Not Applicable,2024-05-09T09:26:28.116000Z,2024-05-09T09:49:16.644000Z,2024-05-09T18:47:56.255000Z,2024-05-09T09:49:17.150996Z,1369,C1E7Y3R1,1023,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
663c988c1f1c75eebf032791,660d6a1f4a7f1337de235daa,APPROVED,Not Applicable,2024-05-09T09:34:13.835000Z,2024-05-09T10:18:53.983000Z,2024-05-09T18:48:37.783000Z,2024-05-09T10:19:39.274551Z,2681,C1E7Y3R1,113,"Maltese, English",58,Female,Other,Malta,United Kingdom,United Kingdom,English,No,Part-Time
663c990e4d1a4749a4bb4bf2,634842a70942fb4ba6aa1e88,APPROVED,Not Applicable,2024-05-09T09:36:20.934000Z,2024-05-09T10:11:57.995000Z,2024-05-09T18:50:50.912000Z,2024-05-09T10:11:58.560952Z,2138,C1E7Y3R1,522,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
663c99c3887a2082a7f4d0f8,637e1c1af194c6e63e8ff286,APPROVED,Not Applicable,2024-05-09T09:39:15.807000Z,2024-05-09T09:57:41.744000Z,2024-05-09T18:51:41.176000Z,2024-05-09T09:57:42.217839Z,1106,C1E7Y3R1,1253,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c9ac689768c581f2ab5c0,64860c8cfd693e6467ad6d15,APPROVED,Not Applicable,2024-05-09T09:43:55.717000Z,2024-05-09T10:24:10.970000Z,2024-05-09T18:52:52.243000Z,2024-05-09T10:24:11.809682Z,2416,C1E7Y3R1,1126,English,67,Male,Black,Nigeria,United States,Nigeria,English,No,DATA_EXPIRED
663c9b88d8b27b826b13867a,63d3fb730f03adf8b4a28a37,APPROVED,Not Applicable,2024-05-09T09:47:03.342000Z,2024-05-09T10:15:01.618000Z,2024-05-09T18:53:12.391000Z,2024-05-09T10:15:02.256457Z,1679,C1E7Y3R1,768,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c9c216fc3f5ec6746d3c4,59660b07e549e90001e44daa,APPROVED,Not Applicable,2024-05-09T09:49:39.758000Z,2024-05-09T10:22:40.782000Z,2024-05-09T18:54:02.203000Z,2024-05-09T10:22:41.383870Z,1982,C1E7Y3R1,832,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
663c9c4f5fa93d3d034dc5f8,58acbfacea3d11000170e99a,APPROVED,Not Applicable,2024-05-09T09:50:07.567000Z,2024-05-09T10:31:25.919000Z,2024-05-09T18:54:36.406000Z,2024-05-09T10:31:26.378726Z,2479,C1E7Y3R1,677,"English, Swedish",43,Male,Asian,India,Sweden,India,English,Yes,Full-Time
663c9e1bd1d5ce3e0aa21dcf,63ee9abfa262bea95766dd9c,APPROVED,Not Applicable,2024-05-09T09:59:19.323000Z,2024-05-09T10:16:17.446000Z,2024-05-09T19:47:42.352000Z,2024-05-09T10:19:01.142297Z,1019,C1E7Y3R1,811,"English, Hindi, Punjabi",72,Female,Asian,India,United Kingdom,United Kingdom,English,No,Part-Time
663c9e7809daf9654558da05,6447a21bdb359b012f49465b,APPROVED,Not Applicable,2024-05-09T09:59:31.266000Z,2024-05-09T10:28:28.338000Z,2024-05-09T19:49:32.274000Z,2024-05-09T10:28:29.689240Z,1738,C1E7Y3R1,584,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
